step,loss,grad_norm,lr
1,3.397522885352373,2.4382662773132324,6.944444444444445e-07
2,2.734111205674708,2.735434055328369,1.388888888888889e-06
3,2.8598231747746468,3.2093887329101562,2.0833333333333334e-06
4,2.82926825620234,2.253401279449463,2.777777777777778e-06
5,2.6965987998992205,3.2141125202178955,3.4722222222222224e-06
6,2.9393337618093938,2.201172113418579,4.166666666666667e-06
7,2.5397971235215664,3.4843294620513916,4.861111111111111e-06
8,3.0931540643796325,2.65055513381958,5.555555555555556e-06
9,1.8897561756893992,2.2445068359375,6.25e-06
10,2.683122966438532,2.303905725479126,6.944444444444445e-06
11,2.6773203844204545,2.53173565864563,7.63888888888889e-06
12,4.021331293974072,2.542397975921631,8.333333333333334e-06
13,2.250981440767646,4.355083465576172,9.027777777777777e-06
14,3.1145056299865246,5.201524257659912,9.722222222222223e-06
15,2.2270422242581844,1.981877326965332,1.0416666666666668e-05
16,2.814086828613654,2.275599241256714,1.1111111111111112e-05
17,3.496274583041668,2.9718780517578125,1.1805555555555555e-05
18,2.7336108097806573,5.174702167510986,1.25e-05
19,2.959271455183625,2.6596808433532715,1.3194444444444446e-05
20,2.9733725879341364,2.9969193935394287,1.388888888888889e-05
21,2.486067984253168,3.03875732421875,1.4583333333333335e-05
22,2.9469503182917833,5.657876968383789,1.527777777777778e-05
23,2.266991825774312,3.1673474311828613,1.597222222222222e-05
24,3.115430571138859,1.9406795501708984,1.6666666666666667e-05
25,2.6557785850018263,2.7845711708068848,1.736111111111111e-05
26,2.7580210217274725,2.8747010231018066,1.8055555555555555e-05
27,2.7008176930248737,3.001757860183716,1.8750000000000002e-05
28,2.7606466487050056,3.452284812927246,1.9444444444444445e-05
29,3.0457709776237607,2.902148485183716,2.013888888888889e-05
30,3.0679377373307943,3.0539751052856445,2.0833333333333336e-05
31,1.7426904174499214,3.9288694858551025,2.152777777777778e-05
32,2.749554908834398,2.0109405517578125,2.2222222222222223e-05
33,1.6361164101399481,3.217233657836914,2.2916666666666667e-05
34,2.5296486956067383,3.57340145111084,2.361111111111111e-05
35,2.781961567699909,3.1303720474243164,2.4305555555555558e-05
36,3.0159187423996627,4.231784820556641,2.5e-05
37,2.7460356689989567,2.812772035598755,2.5694444444444445e-05
38,3.0988706797361374,2.9366307258605957,2.6388888888888892e-05
39,3.1737818140536547,3.282867431640625,2.7083333333333332e-05
40,2.5838125310838223,3.866424560546875,2.777777777777778e-05
41,2.434961697086692,2.7947299480438232,2.8472222222222223e-05
42,2.159825712442398,3.4200587272644043,2.916666666666667e-05
43,3.2149140764959157,3.6202750205993652,2.9861111111111113e-05
44,2.3748065177351236,4.160443305969238,3.055555555555556e-05
45,2.7585514783859253,2.988978147506714,3.125e-05
46,2.3913558796048164,3.1200873851776123,3.194444444444444e-05
47,3.230346160940826,4.213067531585693,3.263888888888889e-05
48,2.775233379099518,3.410315990447998,3.3333333333333335e-05
49,2.399953981861472,3.5717594623565674,3.402777777777778e-05
50,2.310162584297359,3.475245237350464,3.472222222222222e-05
51,2.269222521223128,3.877880573272705,3.541666666666667e-05
52,3.372519134543836,3.419434070587158,3.611111111111111e-05
53,3.648738012649119,4.409621715545654,3.6805555555555556e-05
54,2.377659421414137,1.925094485282898,3.7500000000000003e-05
55,1.6897500599734485,2.529193878173828,3.8194444444444444e-05
56,3.4581607298459858,3.404341697692871,3.888888888888889e-05
57,2.49176063016057,4.027220249176025,3.958333333333333e-05
58,1.7365714549086988,3.0781867504119873,4.027777777777778e-05
59,2.836153080686927,3.98062801361084,4.0972222222222225e-05
60,2.8889916678890586,4.2994608879089355,4.166666666666667e-05
61,2.322460226714611,3.823110580444336,4.236111111111111e-05
62,1.8564077788032591,2.8773930072784424,4.305555555555556e-05
63,2.397859275341034,3.68678879737854,4.375e-05
64,2.2074299538508058,4.210096836090088,4.4444444444444447e-05
65,2.5005987575277686,2.6324543952941895,4.5138888888888894e-05
66,2.3155480287969112,3.184990644454956,4.5833333333333334e-05
67,1.9382904251106083,3.2353899478912354,4.652777777777778e-05
68,2.2090151719748974,3.117302179336548,4.722222222222222e-05
69,2.270111753139645,3.6575114727020264,4.791666666666667e-05
70,1.5667005134746432,2.5694031715393066,4.8611111111111115e-05
71,2.4783760332502425,2.74420166015625,4.930555555555556e-05
72,2.4050548693630844,3.8173532485961914,5e-05
73,2.5152619564905763,5.885457992553711,4.99999772362535e-05
74,1.2722459190990776,1.8180056810379028,4.999990894505547e-05
75,1.8515429673716426,3.098933696746826,4.999979512653027e-05
76,2.4474992267787457,3.166104555130005,4.999963578088516e-05
77,2.1320334386546165,3.275665283203125,4.999943090841035e-05
78,1.8970081089064479,4.076040744781494,4.999918050947891e-05
79,2.7096828233916312,4.144180774688721,4.999888458454686e-05
80,1.7909504211274907,3.1086983680725098,4.999854313415309e-05
81,2.354940705001354,4.008535385131836,4.999815615891943e-05
82,1.8121709518600255,4.09069299697876,4.99977236595506e-05
83,1.9763881284743547,3.869488477706909,4.999724563683421e-05
84,2.750551593489945,4.211662769317627,4.999672209164081e-05
85,2.138063513673842,3.9806711673736572,4.999615302492381e-05
86,2.046522614080459,3.1588175296783447,4.999553843771954e-05
87,3.005461803637445,6.523473739624023,4.9994878331147224e-05
88,2.007674654945731,3.9733080863952637,4.999417270640899e-05
89,2.36268041562289,3.234083890914917,4.999342156478985e-05
90,2.4400102528743446,4.369515895843506,4.99926249076577e-05
91,1.6103426534682512,3.87646746635437,4.999178273646334e-05
92,1.9940561004914343,3.4552409648895264,4.999089505274044e-05
93,1.7236782312393188,4.188316822052002,4.9989961858105566e-05
94,2.1723009690176696,3.8210465908050537,4.9988983154258156e-05
95,1.6639328440651298,2.8266921043395996,4.998795894298053e-05
96,1.7750467313453555,4.543471813201904,4.998688922613788e-05
97,1.2181600930634886,3.915191650390625,4.998577400567825e-05
98,1.478387522045523,5.19174861907959,4.99846132836326e-05
99,1.7220819350332022,3.8759374618530273,4.998340706211469e-05
100,1.4754757201299071,3.564624786376953,4.9982155343321184e-05
101,1.3273277371190488,4.47904634475708,4.9980858129531585e-05
102,2.824572787852958,3.847137689590454,4.997951542310825e-05
103,1.9624029276892543,3.4470584392547607,4.997812722649638e-05
104,2.481224766932428,3.7441883087158203,4.997669354222402e-05
105,2.1073676149826497,3.4477250576019287,4.9975214372902054e-05
106,1.6482537626288831,3.5143072605133057,4.997368972122419e-05
107,2.3418940489646047,3.5468900203704834,4.997211958996697e-05
108,1.5192770869471133,4.111025333404541,4.997050398198977e-05
109,1.7151995254680514,4.006842136383057,4.996884290023477e-05
110,2.2289051469415426,3.901477098464966,4.996713634772696e-05
111,2.074585150927305,3.932363986968994,4.996538432757414e-05
112,2.241321205161512,3.5656347274780273,4.9963586842966924e-05
113,2.0985436774790287,3.5865862369537354,4.996174389717871e-05
114,1.9521903656423092,3.3931427001953125,4.995985549356568e-05
115,2.763804051093757,3.4072787761688232,4.9957921635566804e-05
116,1.1300823278725147,3.3950226306915283,4.995594232670383e-05
117,2.1323595428839326,3.318969488143921,4.9953917570581284e-05
118,1.465068939840421,3.382450580596924,4.995184737088644e-05
119,2.3875791667960584,3.3373305797576904,4.994973173138935e-05
120,1.5351224644109607,3.323420286178589,4.9947570655942796e-05
121,1.5725806239061058,4.038409233093262,4.994536414848231e-05
122,1.694183247629553,4.456274509429932,4.994311221302617e-05
123,1.8951109601184726,4.48056697845459,4.9940814853675366e-05
124,1.5694996484089643,3.5524139404296875,4.993847207461362e-05
125,1.577514249831438,3.4318010807037354,4.993608388010737e-05
126,2.225674278102815,4.453719139099121,4.993365027450576e-05
127,1.7931738188490272,6.172641277313232,4.993117126224063e-05
128,1.2191474209539592,2.524594783782959,4.9928646847826496e-05
129,1.6696887888247147,4.815306186676025,4.9926077035860576e-05
130,2.2433602893725038,2.7307629585266113,4.992346183102274e-05
131,1.8562222514301538,3.330158233642578,4.9920801238075565e-05
132,1.6747319856658578,3.451997995376587,4.991809526186424e-05
133,1.2080021526198834,3.3602654933929443,4.991534390731661e-05
134,1.4741093809716403,4.104156970977783,4.991254717944318e-05
135,1.536149371881038,3.1960082054138184,4.9909705083337066e-05
136,1.8599634785205126,4.425763130187988,4.9906817624174e-05
137,1.953531782142818,4.0283074378967285,4.990388480721234e-05
138,2.009218271705322,3.6032392978668213,4.9900906637793046e-05
139,1.5015112929977477,3.126899242401123,4.989788312133965e-05
140,1.8094453089870512,3.9667916297912598,4.989481426335828e-05
141,1.827332896180451,3.8135364055633545,4.989170006943763e-05
142,1.5570487016811967,3.4665682315826416,4.988854054524897e-05
143,2.446759968297556,3.4879205226898193,4.988533569654609e-05
144,1.684321204200387,4.4011616706848145,4.988208552916535e-05
145,1.6348230093717575,3.574132204055786,4.987879004902563e-05
146,1.834794543683529,3.5993311405181885,4.9875449262128326e-05
147,1.4740165572147816,3.092982769012451,4.9872063174557334e-05
148,1.6739104096777737,3.7949330806732178,4.986863179247908e-05
149,1.9308598805218935,4.620462417602539,4.986515512214243e-05
150,1.2955773607827723,3.518042802810669,4.986163316987876e-05
151,2.1053299698978662,6.107058048248291,4.985806594210189e-05
152,1.5758119942620397,6.114537715911865,4.985445344530811e-05
153,1.5835565354209393,3.099179744720459,4.985079568607612e-05
154,2.027756668627262,4.490663051605225,4.9847092671067074e-05
155,2.307982732076198,3.7804298400878906,4.984334440702453e-05
156,1.4626402398571372,3.2253942489624023,4.983955090077444e-05
157,1.23947992362082,3.0483357906341553,4.983571215922518e-05
158,1.5426923560444266,4.064146995544434,4.9831828189367466e-05
159,1.6457017846405506,4.246161460876465,4.982789899827439e-05
160,1.9879860584624112,4.390605926513672,4.982392459310141e-05
161,2.228397822706029,5.288943290710449,4.981990498108632e-05
162,1.3036953180562705,3.714048385620117,4.981584016954921e-05
