condition,display,task,test_f1,ext_f1,delta,pct_change
Trunc/lora_m1_1024,Trunc+LoRA/1K,2WikiMQA-E,21.428571428571427,18.989071038251367,-2.4395003903200596,-11.384335154826946
Trunc/lora_m1_1024,Trunc+LoRA/1K,Mean,27.075916456955106,25.706714725646663,-1.3692017313084435,-5.056898936311834
Trunc/lora_m1_2048,Trunc+LoRA/2K,Qasper,31.55939298796442,30.6224968142526,-0.9368961737118191,-2.9686761531475483
Trunc/lora_m1_2048,Trunc+LoRA/2K,2WikiMQA,27.564102564102566,18.722357889024554,-8.841744675078012,-32.07702719330627
Trunc/lora_m1_2048,Trunc+LoRA/2K,Qasper-E,30.03794559350115,31.675915675488376,1.637970081987227,5.453003025418654
Trunc/lora_m1_2048,Trunc+LoRA/2K,HotpotQA-E,33.95061728395062,41.851851851851855,7.901234567901234,23.27272727272727
Trunc/lora_m1_2048,Trunc+LoRA/2K,2WikiMQA-E,21.428571428571427,23.82903981264637,2.4004683840749443,11.202185792349741
Trunc/lora_m1_2048,Trunc+LoRA/2K,Mean,28.908125971618034,29.34033240865275,0.43220643703471495,1.495103617090415
M1_recency/cs1024,M1rec/1K (broken),Qasper,0.0,0.0,0.0,
M1_recency/cs1024,M1rec/1K (broken),2WikiMQA,0.0,0.0,0.0,
M1_recency/cs1024,M1rec/1K (broken),Qasper-E,0.0,0.0,0.0,
M1_recency/cs1024,M1rec/1K (broken),HotpotQA-E,0.0,0.0,0.0,
M1_recency/cs1024,M1rec/1K (broken),2WikiMQA-E,0.0,0.0,0.0,
M1_recency/cs1024,M1rec/1K (broken),Mean,0.0,0.0,0.0,
A4/cs1024_no_namm,A4/1K (LoRA-only),Qasper,46.19441979690426,30.41262046096458,-15.781799335939684,-34.163865257589634
A4/cs1024_no_namm,A4/1K (LoRA-only),2WikiMQA,25.0,23.553791887125225,-1.4462081128747748,-5.784832451499099
A4/cs1024_no_namm,A4/1K (LoRA-only),Qasper-E,28.121212121212118,21.411465486135942,-6.709746635076176,-23.860090404904508
A4/cs1024_no_namm,A4/1K (LoRA-only),HotpotQA-E,26.666666666666668,31.571546732837053,4.904880066170385,18.393300248138942
A4/cs1024_no_namm,A4/1K (LoRA-only),2WikiMQA-E,17.460317460317462,25.074773078630358,7.6144556183128955,43.61006399579203
A4/cs1024_no_namm,A4/1K (LoRA-only),Mean,28.688523209020104,26.404839529138634,-2.28368367988147,-7.960269210244483
A4/cs2048_no_namm,A4/2K (LoRA-only),Qasper,43.55555555555556,24.536270954607588,-19.01928460094797,-43.666724849115234
A4/cs2048_no_namm,A4/2K (LoRA-only),2WikiMQA,38.88888888888889,31.151074014851105,-7.737814874037788,-19.89723824752574
A4/cs2048_no_namm,A4/2K (LoRA-only),Qasper-E,34.6270587649898,22.881833580838503,-11.745225184151295,-33.91921116911749
A4/cs2048_no_namm,A4/2K (LoRA-only),HotpotQA-E,35.80246913580246,29.9187117353501,-5.88375740045236,-16.43394308402211
A4/cs2048_no_namm,A4/2K (LoRA-only),2WikiMQA-E,17.460317460317462,21.307849120771017,3.847531660453555,22.035863146233993
A4/cs2048_no_namm,A4/2K (LoRA-only),Mean,34.06685796111084,25.959147881283663,-8.107710079827179,-23.79940671101094
