step,loss,grad_norm,lr
1,3.303138845600188,3.5026023387908936,4.6296296296296297e-07
2,2.5602074414491653,2.2818541526794434,9.259259259259259e-07
3,3.1790094214957207,3.574552536010742,1.388888888888889e-06
4,3.883908857824281,4.055842399597168,1.8518518518518519e-06
5,4.036095381714404,4.423407077789307,2.3148148148148148e-06
6,3.3857725760899484,2.161123275756836,2.777777777777778e-06
7,3.3969207343179733,3.636828899383545,3.2407407407407406e-06
8,2.9903991617029533,1.8459731340408325,3.7037037037037037e-06
9,3.738438591826707,3.4803359508514404,4.166666666666667e-06
10,2.7665811078622937,2.4319071769714355,4.6296296296296296e-06
11,2.808066946454346,7.800593852996826,5.092592592592592e-06
12,3.0874690040946007,2.4696438312530518,5.555555555555556e-06
13,4.49806293239817,2.4011049270629883,6.0185185185185185e-06
14,3.2571526776300743,2.608187675476074,6.481481481481481e-06
15,3.3295416948385537,2.0136077404022217,6.944444444444445e-06
16,3.2727944534271955,4.581569671630859,7.4074074074074075e-06
17,3.8158597118454054,2.8870620727539062,7.87037037037037e-06
18,2.2475570109672844,1.647876501083374,8.333333333333334e-06
19,2.7633252013474703,1.7228964567184448,8.796296296296297e-06
20,4.482237994670868,3.1343135833740234,9.259259259259259e-06
21,3.9653465459123254,4.522556304931641,9.722222222222223e-06
22,2.2793566938489676,2.477346420288086,1.0185185185185185e-05
23,3.9505800865590572,3.2788820266723633,1.0648148148148148e-05
24,4.012599756009877,4.436666011810303,1.1111111111111112e-05
25,2.872707551345229,3.9923853874206543,1.1574074074074075e-05
26,3.439526074216701,2.7988698482513428,1.2037037037037037e-05
27,3.4941640235483646,4.927577972412109,1.25e-05
28,3.2931997526902705,2.5844521522521973,1.2962962962962962e-05
29,3.2033884504344314,4.386533737182617,1.3425925925925928e-05
30,3.135216484311968,5.563718318939209,1.388888888888889e-05
31,3.034985582344234,2.857353687286377,1.4351851851851853e-05
32,3.1997339089866728,3.871608018875122,1.4814814814814815e-05
33,3.2286701621487737,2.366933584213257,1.527777777777778e-05
34,4.1388014033436775,3.613948106765747,1.574074074074074e-05
35,4.920695998705924,5.7483625411987305,1.6203703703703704e-05
36,3.164330668747425,4.167038917541504,1.6666666666666667e-05
37,3.896428804844618,2.905280590057373,1.712962962962963e-05
38,3.019235022831708,2.7358005046844482,1.7592592592592595e-05
39,3.4769892217591405,4.713369846343994,1.8055555555555555e-05
40,3.3530490025877953,2.9110262393951416,1.8518518518518518e-05
41,3.688880208414048,4.653796195983887,1.8981481481481482e-05
42,2.5554250674322248,2.658095598220825,1.9444444444444445e-05
43,3.188682960346341,3.7523257732391357,1.990740740740741e-05
44,3.340973686426878,4.156810283660889,2.037037037037037e-05
45,2.4823239822871983,2.9708337783813477,2.0833333333333336e-05
46,3.440854414831847,3.4178292751312256,2.1296296296296296e-05
47,4.020180877298117,3.492885112762451,2.175925925925926e-05
48,2.671286975732073,2.6493546962738037,2.2222222222222223e-05
49,3.8819595351815224,8.009549140930176,2.2685185185185187e-05
50,3.2588845104910433,4.852636814117432,2.314814814814815e-05
51,2.889463406521827,2.891599178314209,2.361111111111111e-05
52,2.9112321408465505,4.4192938804626465,2.4074074074074074e-05
53,3.01752838678658,3.6484310626983643,2.4537037037037038e-05
54,3.3363450914621353,3.53143310546875,2.5e-05
55,2.7753625474870205,5.276867389678955,2.5462962962962965e-05
56,3.487110260874033,5.87499475479126,2.5925925925925925e-05
57,3.4640382323414087,7.784693717956543,2.6388888888888892e-05
58,2.8400406069122255,2.977504253387451,2.6851851851851855e-05
59,4.131804550997913,3.5246970653533936,2.7314814814814816e-05
60,4.469041652977467,3.1338162422180176,2.777777777777778e-05
61,3.9592970917001367,5.905141353607178,2.824074074074074e-05
62,3.263158332556486,7.181607246398926,2.8703703703703706e-05
63,3.7164946906268597,3.2794857025146484,2.916666666666667e-05
64,2.86188390199095,2.150852680206299,2.962962962962963e-05
65,3.159039117745124,3.5446019172668457,3.0092592592592593e-05
66,3.036203551106155,3.4567317962646484,3.055555555555556e-05
67,2.5557522922754288,4.53267240524292,3.101851851851852e-05
